🌟央视卫视-①🌟,#genre#
湖南卫视,http://php.jdshipin.com/itv.php?cid=FifastbLive&id=3000000010000005180
浙江卫视,https://my5353.com/o53RM
 东方卫视,https://my5353.com/W5sAL
 江苏卫视,https://my5353.com/MqFKU
 广东卫视,https://my5353.com/vX27V
 江西卫视,https://my5353.com/BJ4J1
 河南卫视,https://my5353.com/Tqdmb
 陕西卫视,https://my5353.com/w83bM
 大湾区卫视,https://my5353.com/9h67m
 湖北卫视,https://my5353.com/4Utat
 吉林卫视,https://my5353.com/LTcMP
 青海卫视,https://my5353.com/iuSuy
 东南卫视,https://my5353.com/ELYLj
 海南卫视,https://my5353.com/bf1Hc
 海峡卫视,https://my5353.com/Amgfi
 上海新闻综合,https://my5353.com/O8JTu
 上视东方影视,https://my5353.com/7FbiK
 上海第一财经,https://my5353.com/s7Rfq
 CHC影迷电影,https://my5353.com/Okw18
 CHC动作电影,https://my5353.com/iwcxG
 CHC家庭影院,https://my5353.com/BtL6s
CCTV1,http://148.135.93.213/live.php?id=CCTV1
CCTV2,http://148.135.93.213/live.php?id=CCTV2
CCTV3,http://148.135.93.213/live.php?id=CCTV3
CCTV4,http://148.135.93.213/live.php?id=CCTV4
CCTV5,http://148.135.93.213/live.php?id=CCTV5
CCTV5+,http://148.135.93.213/live.php?id=CCTV5p
CCTV6,http://148.135.93.213/live.php?id=CCTV6
CCTV7,http://148.135.93.213/live.php?id=CCTV7
CCTV8,http://148.135.93.213/live.php?id=CCTV8
CCTV9,http://148.135.93.213/live.php?id=CCTV9
CCTV10,http://148.135.93.213/live.php?id=CCTV10
CCTV11,http://148.135.93.213/live.php?id=CCTV11
CCTV12,http://148.135.93.213/live.php?id=CCTV12
CCTV13,http://148.135.93.213/live.php?id=CCTV13
CCTV14,http://148.135.93.213/live.php?id=CCTV14
CCTV15,http://148.135.93.213/live.php?id=CCTV15
CCTV16,http://148.135.93.213/live.php?id=CCTV16
CCTV17,http://148.135.93.213/live.php?id=CCTV17
北京卫视,http://148.135.93.213/live.php?id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86
湖南卫视,http://148.135.93.213/live.php?id=%E6%B9%96%E5%8D%97%E5%8D%AB%E8%A7%86
湖南卫视,https://www.freetv.top/geshou/954827961.m3u8
浙江卫视,http://148.135.93.213/live.php?id=%E6%B5%99%E6%B1%9F%E5%8D%AB%E8%A7%86
江苏卫视,http://148.135.93.213/live.php?id=%E6%B1%9F%E8%8B%8F%E5%8D%AB%E8%A7%86
东方卫视,http://148.135.93.213/live.php?id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86
广东卫视,http://148.135.93.213/live.php?id=%E5%B9%BF%E4%B8%9C%E5%8D%AB%E8%A7%86
辽宁卫视,http://148.135.93.213/live.php?id=%E8%BE%BD%E5%AE%81%E5%8D%AB%E8%A7%86
湖北卫视,http://148.135.93.213/live.php?id=%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86
吉林卫视,http://148.135.93.213/live.php?id=%E5%90%89%E6%9E%97%E5%8D%AB%E8%A7%86
四川卫视,http://148.135.93.213/live.php?id=%E5%9B%9B%E5%B7%9D%E5%8D%AB%E8%A7%86
天津卫视,http://148.135.93.213/live.php?id=%E5%A4%A9%E6%B4%A5%E5%8D%AB%E8%A7%86
安徽卫视,http://148.135.93.213/live.php?id=%E5%AE%89%E5%BE%BD%E5%8D%AB%E8%A7%86
山东卫视,http://148.135.93.213/live.php?id=%E5%B1%B1%E4%B8%9C%E5%8D%AB%E8%A7%86
山西卫视,http://148.135.93.213/live.php?id=%E5%B1%B1%E8%A5%BF%E5%8D%AB%E8%A7%86
广西卫视,http://148.135.93.213/live.php?id=%E5%B9%BF%E8%A5%BF%E5%8D%AB%E8%A7%86
江西卫视,http://148.135.93.213/live.php?id=%E6%B1%9F%E8%A5%BF%E5%8D%AB%E8%A7%86
陕西卫视,http://148.135.93.213/live.php?id=%E9%99%95%E8%A5%BF%E5%8D%AB%E8%A7%86
东南卫视,http://148.135.93.213/live.php?id=%E4%B8%9C%E5%8D%97%E5%8D%AB%E8%A7%86
甘肃卫视,http://148.135.93.213/live.php?id=%E7%94%98%E8%82%83%E5%8D%AB%E8%A7%86
河北卫视,http://148.135.93.213/live.php?id=%E6%B2%B3%E5%8C%97%E5%8D%AB%E8%A7%86
河南卫视,http://148.135.93.213/live.php?id=%E6%B2%B3%E5%8D%97%E5%8D%AB%E8%A7%86
深圳卫视,http://148.135.93.213/live.php?id=%E6%B7%B1%E5%9C%B3%E5%8D%AB%E8%A7%86
贵州卫视,http://148.135.93.213/live.php?id=%E8%B4%B5%E5%B7%9E%E5%8D%AB%E8%A7%86
重庆卫视,http://148.135.93.213/live.php?id=%E9%87%8D%E5%BA%86%E5%8D%AB%E8%A7%86
西藏卫视,http://148.135.93.213/live.php?id=%E8%A5%BF%E8%97%8F%E5%8D%AB%E8%A7%86
新疆卫视,http://148.135.93.213/live.php?id=%E6%96%B0%E7%96%86%E5%8D%AB%E8%A7%86
青海卫视,http://148.135.93.213/live.php?id=%E9%9D%92%E6%B5%B7%E5%8D%AB%E8%A7%86
内蒙古卫视,http://148.135.93.213/live.php?id=%E5%86%85%E8%92%99%E5%8F%A4%E5%8D%AB%E8%A7%86
黑龙江卫视,http://148.135.93.213/live.php?id=%E9%BB%91%E9%BE%99%E6%B1%9F%E5%8D%AB%E8%A7%86
海南卫视,http://148.135.93.213/live.php?id=%E6%B5%B7%E5%8D%97%E5%8D%AB%E8%A7%86
大湾区卫视,http://148.135.93.213/live.php?id=%E5%A4%A7%E6%B9%BE%E5%8C%BA%E5%8D%AB%E8%A7%86
重温经典,http://148.135.93.213/live.php?id=%E9%87%8D%E6%B8%A9%E7%BB%8F%E5%85%B8
上海五星体育,http://148.135.93.213/live.php?id=%E4%BA%94%E6%98%9F%E4%BD%93%E8%82%B2
凤凰资讯,http://148.135.93.213/phenix.php?id=fhzx
凤凰中文,http://148.135.93.213/phenix.php?id=fhzw
凤凰香港,http://148.135.93.213/phenix.php?id=fhhk
CHC家庭影院,http://148.135.93.213/live.php?id=CHC%E5%AE%B6%E5%BA%AD%E5%BD%B1%E9%99%A2
CHC动作电影,http://148.135.93.213/live.php?id=CHC%E5%8A%A8%E4%BD%9C%E7%94%B5%E5%BD%B1
CHC影迷电影,http://148.135.93.213/live.php?id=CHC%E5%BD%B1%E8%BF%B7%E7%94%B5%E5%BD%B1
右上角广告勿信,http://xg.52sw.top/play/kzb/play.php?id=CCTV-1
右上角广告勿信,http://xg.52sw.top/play/kzb/play.php?id=CCTV-1
CCTV1,http://xg.52sw.top/play/kzb/play.php?id=CCTV-1
CCTV2,http://xg.52sw.top/play/kzb/play.php?id=CCTV-2
CCTV3,http://xg.52sw.top/play/kzb/play.php?id=CCTV-3
CCTV4,http://xg.52sw.top/play/kzb/play.php?id=CCTV-4
CCTV5,http://xg.52sw.top/play/kzb/play.php?id=CCTV-5
CCTV5+,http://xg.52sw.top/play/kzb/play.php?id=CCTV-5p
CCTV6,http://xg.52sw.top/play/kzb/play.php?id=CCTV-6
CCTV7,http://xg.52sw.top/play/kzb/play.php?id=CCTV-7
CCTV8,http://xg.52sw.top/play/kzb/play.php?id=CCTV-8
CCTV9,http://xg.52sw.top/play/kzb/play.php?id=CCTV-9
CCTV10,http://xg.52sw.top/play/kzb/play.php?id=CCTV-10
CCTV11,http://xg.52sw.top/play/kzb/play.php?id=CCTV-11
CCTV12,http://xg.52sw.top/play/kzb/play.php?id=CCTV-12
CCTV13,http://xg.52sw.top/play/kzb/play.php?id=CCTV-13
CCTV14,http://xg.52sw.top/play/kzb/play.php?id=CCTV-14
CCTV15,http://xg.52sw.top/play/kzb/play.php?id=CCTV-15
CCTV17,http://xg.52sw.top/play/kzb/play.php?id=CCTV-17
北京卫视,http://xg.52sw.top/play/kzb/play.php?id=bjws
湖南卫视,http://xg.52sw.top/play/kzb/play.php?id=hunws
东方卫视,http://xg.52sw.top/play/kzb/play.php?id=dfws
江苏卫视,http://xg.52sw.top/play/kzb/play.php?id=zjws
浙江卫视,http://xg.52sw.top/play/kzb/play.php?id=zjws
东南卫视,http://xg.52sw.top/play/kzb/play.php?id=dnws
广东卫视,http://xg.52sw.top/play/kzb/play.php?id=gdws
深圳卫视,http://xg.52sw.top/play/kzb/play.php?id=szws
广西卫视,http://xg.52sw.top/play/kzb/play.php?id=gxws
天津卫视,http://xg.52sw.top/play/kzb/play.php?id=tjws
重庆卫视,http://xg.52sw.top/play/kzb/play.php?id=gdws
黑龙江卫视,http://xg.52sw.top/play/kzb/play.php?id=hljws
吉林卫视,http://xg.52sw.top/play/kzb/play.php?id=jlws
辽宁卫视,http://xg.52sw.top/play/kzb/play.php?id=lnws
甘肃卫视,http://xg.52sw.top/play/kzb/play.php?id=gdws
青海卫视,http://xg.52sw.top/play/kzb/play.php?id=qhws
陕西卫视,http://xg.52sw.top/play/kzb/play.php?id=sxws
河北卫视,http://xg.52sw.top/play/kzb/play.php?id=hbws
山东卫视,http://xg.52sw.top/play/kzb/play.php?id=sdws
安徽卫视,http://xg.52sw.top/play/kzb/play.php?id=ahws
河南卫视,http://xg.52sw.top/play/kzb/play.php?id=hnws
湖北卫视,http://xg.52sw.top/play/kzb/play.php?id=hubws
江西卫视,http://xg.52sw.top/play/kzb/play.php?id=jxws
贵州卫视,http://xg.52sw.top/play/kzb/play.php?id=gzws
四川卫视,http://xg.52sw.top/play/kzb/play.php?id=scws
新疆卫视,http://xg.52sw.top/play/kzb/play.php?id=xjws
兵团卫视,http://xg.52sw.top/play/kzb/play.php?id=btws
海南卫视,http://xg.52sw.top/play/kzb/play.php?id=hinws
兵团卫视,http://xg.52sw.top/play/kzb/play.php?id=btws
山西卫视,http://xg.52sw.top/play/kzb/play.php?id=shanxws
内蒙古卫视,http://xg.52sw.top/play/kzb/play.php?id=nmgws
西藏卫视,http://xg.52sw.top/play/kzb/play.php?id=xzws
云南卫视,http://xg.52sw.top/play/kzb/play.php?id=ynws
北京卫视,https://my5353.com/Q7WTG
北京卫视,https://cc05.tv12.xyz/163.m3u8
北京卫视,https://cc05.tv12.xyz/155.m3u8
东方卫视,http://8.138.7.223/tv/shtv.php?id=dfws
大湾区卫视,http://nctv.top/IDOEPpiryt/migu.php?id=dwqws
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
湖南卫视,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000010000000040382/main.m3u8
辽宁卫视,http://dassby.qqff.top:99/live/辽宁卫视高清/index.m3u8
辽宁卫视,http://dassby.qqff.top:99/live/辽宁卫视高清/index.m3u8
黑龙江卫视,https://idclive.hljtv.com:4430/live/hljws_own.m3u8
